# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_upstream_gene_variant
sufS	ECB_01649	ECB_01649	protein_coding	0	0	1	1	0	0	0
topA	ECB_01250	ECB_01250	protein_coding	0	1	0	0	0	1	0
trpS	ECB_03236	ECB_03236	protein_coding	0	0	1	0	0	0	1
ybeA	ECB_00605	ECB_00605	protein_coding	0	0	1	1	0	0	0
ybeB	ECB_00606	ECB_00606	protein_coding	0	0	1	1	0	0	0
ybeD	ECB_00600	ECB_00600	protein_coding	0	0	1	0	0	0	1
ybeF	ECB_00598	ECB_00598	protein_coding	0	0	1	0	0	0	1
yciK	ECB_01247	ECB_01247	protein_coding	0	0	1	0	0	0	1
yciN	ECB_01249	ECB_01249	protein_coding	0	0	1	0	0	0	1
ydhV	ECB_01642	ECB_01642	protein_coding	0	0	1	0	0	0	1
ydhW	ECB_01641	ECB_01641	protein_coding	0	0	1	0	0	0	1
ydhY	ECB_01643	ECB_01643	protein_coding	0	0	1	0	0	0	1
ydhZ	ECB_01644	ECB_01644	protein_coding	0	0	1	0	0	0	1
yegQ	ECB_01986	ECB_01986	protein_coding	0	0	1	1	0	0	0
yegZ	ECB_01988	ECB_01988	protein_coding	0	0	1	0	0	0	1
yhfX	ECB_03233	ECB_03233	protein_coding	0	0	1	0	0	0	1
yhfY	ECB_03234	ECB_03234	protein_coding	0	0	1	0	0	0	1
yhfZ	ECB_03235	ECB_03235	protein_coding	0	0	1	0	0	0	1
yieM	ECB_03629	ECB_03629	protein_coding	0	0	1	0	0	0	1
yieN	ECB_03630	ECB_03630	protein_coding	0	0	1	0	0	0	1
yiiU	ECB_03813	ECB_03813	protein_coding	0	0	1	1	0	0	0
ynhG	ECB_01647	ECB_01647	protein_coding	0	0	1	1	0	0	0
ytfM	ECB_04091	ECB_04091	protein_coding	0	0	1	1	0	0	0
ytfN	ECB_04092	ECB_04092	protein_coding	1	0	0	0	1	0	0
ytfP	ECB_04093	ECB_04093	protein_coding	0	0	1	0	0	0	1
ytfQ	ECB_04096	ECB_04096	protein_coding	0	0	1	0	0	0	1
ytfR	ECB_04097	ECB_04097	protein_coding	0	0	1	0	0	0	1
ytfT	ECB_04098	ECB_04098	protein_coding	0	0	1	0	0	0	1
yzfA	ECB_04094	ECB_04094	protein_coding	0	0	1	1	0	0	0
