# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_upstream_gene_variant
insA-5	ECB_00341	ECB_00341	protein_coding	0	0	1	0	1	0	0	0
insB-18	ECB_02270	ECB_02270	protein_coding	0	1	0	0	0	0	1	0
insB-19	ECB_02452	ECB_02452	protein_coding	0	1	0	0	0	0	1	0
insB-3	ECB_00237	ECB_00237	protein_coding	0	1	0	0	0	0	1	0
insB-5	ECB_00340	ECB_00340	protein_coding	0	1	0	0	0	0	1	0
insL-2	ECB_00390	ECB_00390	protein_coding	0	0	1	0	0	0	0	1
kefB	ECB_03201	ECB_03201	protein_coding	0	0	1	0	1	0	0	0
lipB	ECB_00599	ECB_00599	protein_coding	0	0	1	0	0	0	0	1
lon	ECB_00391	ECB_00391	protein_coding	0	0	1	0	1	0	0	0
lplA	ECB_04262	ECB_04262	protein_coding	0	0	1	0	0	0	0	1
lpp	ECB_01646	ECB_01646	protein_coding	0	0	1	0	0	0	0	1
malP	ECB_03269	ECB_03269	protein_coding	0	0	1	0	0	0	0	1
malQ	ECB_03268	ECB_03268	protein_coding	0	0	1	0	0	0	0	1
malT	ECB_03270	ECB_03270	protein_coding	0	1	1	0	1	0	1	0
menA	ECB_03815	ECB_03815	protein_coding	0	0	1	0	0	0	0	1
menG	ECB_03814	ECB_03814	protein_coding	0	0	1	0	0	0	0	1
metH	ECB_03891	ECB_03891	protein_coding	0	0	1	0	0	0	0	1
mntH	ECB_02301	ECB_02301	protein_coding	0	0	1	0	0	0	0	1
mogA	ECB_00009	ECB_00009	protein_coding	0	0	1	0	1	0	0	0
mrdA	ECB_00604	ECB_00604	protein_coding	0	0	1	0	1	0	0	0
mrdB	ECB_00603	ECB_00603	protein_coding	0	1	0	0	0	0	1	0
nadD	ECB_00608	ECB_00608	protein_coding	0	0	1	0	1	0	0	0
nadR	ECB_04266	ECB_04266	protein_coding	0	1	0	0	0	0	1	0
nuoL	ECB_02203	ECB_02203	protein_coding	0	0	1	0	1	0	0	0
nuoM	ECB_02202	ECB_02202	protein_coding	0	0	1	0	1	0	0	0
nuoN	ECB_02201	ECB_02201	protein_coding	0	0	1	0	1	0	0	0
nupC	ECB_02302	ECB_02302	protein_coding	0	0	1	0	0	0	0	1
ogrK	ECB_01987	ECB_01987	protein_coding	0	0	1	0	0	0	0	1
panF	ECB_03116	ECB_03116	protein_coding	0	0	1	0	1	0	0	0
pdxJ	ECB_02458	ECB_02458	protein_coding	0	0	1	0	1	0	0	0
pepD	ECB_00232	ECB_00232	protein_coding	0	0	1	0	0	0	0	1
phoE	ECB_00238	ECB_00238	protein_coding	0	0	1	0	1	0	0	0
phpB	ECB_00607	ECB_00607	protein_coding	0	0	1	0	1	0	0	0
ppa	ECB_04095	ECB_04095	protein_coding	0	0	1	0	1	0	0	0
ppiD	ECB_00393	ECB_00393	protein_coding	0	0	1	0	0	0	0	1
prfH	ECB_00231	ECB_00231	protein_coding	0	0	1	0	1	0	0	0
priA	ECB_03820	ECB_03820	protein_coding	0	0	1	0	1	0	0	0
prmA	ECB_03117	ECB_03117	protein_coding	0	0	1	0	1	0	0	0
proA	ECB_00240	ECB_00240	protein_coding	0	0	1	0	0	0	0	1
proB	ECB_00239	ECB_00239	protein_coding	0	0	1	0	0	0	0	1
proC	ECB_00333	ECB_00333	protein_coding	0	0	1	0	0	0	0	1
purL	ECB_02449	ECB_02449	protein_coding	0	0	1	0	0	0	0	1
pykF	ECB_01645	ECB_01645	protein_coding	0	1	0	0	0	0	1	0
rbsA	ECB_03635	ECB_03635	protein_coding	0	0	1	0	1	0	0	0
rbsB	ECB_03637	ECB_03637	protein_coding	0	0	1	0	1	0	0	0
rbsC	ECB_03636	ECB_03636	protein_coding	0	0	1	0	1	0	0	0
rbsK	ECB_03638	ECB_03638	protein_coding	0	0	1	0	1	0	0	0
rbsR	ECB_03639	ECB_03639	protein_coding	0	0	1	0	1	0	0	0
rdgC	ECB_00342	ECB_00342	protein_coding	0	0	1	0	1	0	0	0
recO	ECB_02459	ECB_02459	protein_coding	0	0	1	0	1	0	0	0
rimM	ECB_02497	ECB_02497	protein_coding	0	0	1	0	1	0	0	0
rlpA	ECB_00602	ECB_00602	protein_coding	0	0	1	0	0	0	0	1
rplS	ECB_02495	ECB_02495	protein_coding	0	1	0	0	0	0	1	0
rpsG	ECB_03192	ECB_03192	protein_coding	0	1	0	0	0	0	1	0
rpsL	ECB_03193	ECB_03193	protein_coding	0	0	1	0	1	0	0	0
rpsP	ECB_02498	ECB_02498	protein_coding	0	0	1	0	1	0	0	0
rtcA	ECB_03271	ECB_03271	protein_coding	0	0	2	0	1	0	0	1
rtcB	ECB_03272	ECB_03272	protein_coding	0	0	2	0	1	0	0	1
rtcR	ECB_03273	ECB_03273	protein_coding	0	0	1	0	1	0	0	0
sbcC	ECB_00345	ECB_00345	protein_coding	0	0	1	0	1	0	0	0
serB	ECB_04264	ECB_04264	protein_coding	0	0	1	0	1	0	0	0
slt	ECB_04268	ECB_04268	protein_coding	0	0	1	0	0	0	0	1
slyD	ECB_03200	ECB_03200	protein_coding	0	0	1	0	1	0	0	0
slyX	ECB_03199	ECB_03199	protein_coding	0	0	1	0	0	0	0	1
smp	ECB_04263	ECB_04263	protein_coding	0	0	1	0	0	0	0	1
sms	ECB_04265	ECB_04265	protein_coding	0	0	1	0	1	0	0	0
sohB	ECB_01248	ECB_01248	protein_coding	0	0	1	0	1	0	0	0
speC	ECB_02795	ECB_02795	protein_coding	0	0	1	0	0	0	0	1
sufD	ECB_01650	ECB_01650	protein_coding	0	0	1	0	1	0	0	0
sufE	ECB_01648	ECB_01648	protein_coding	0	0	1	0	1	0	0	0
sufS	ECB_01649	ECB_01649	protein_coding	0	0	1	0	1	0	0	0
tadA	ECB_02453	ECB_02453	protein_coding	0	0	1	0	1	0	0	0
talB	ECB_00008	ECB_00008	protein_coding	0	0	1	0	1	0	0	0
thrC	ECB_00004	ECB_00004	protein_coding	0	0	1	0	1	0	0	0
topA	ECB_01250	ECB_01250	protein_coding	0	1	0	0	0	0	1	0
trmD	ECB_02496	ECB_02496	protein_coding	0	0	1	0	1	0	0	0
trpR	ECB_04269	ECB_04269	protein_coding	0	0	1	0	0	0	0	1
tufA	ECB_03190	ECB_03190	protein_coding	0	0	1	0	0	0	0	1
tyrA	ECB_02489	ECB_02489	protein_coding	0	0	1	0	0	0	0	1
ushA	ECB_00431	ECB_00431	protein_coding	0	0	1	0	0	0	0	1
vacJ	ECB_02272	ECB_02272	protein_coding	0	0	1	0	1	0	0	0
yaaA	ECB_00006	ECB_00006	protein_coding	0	0	1	0	0	0	0	1
yaaH	ECB_00010	ECB_00010	protein_coding	0	1	0	0	0	0	1	0
yaaI	ECB_00013	ECB_00013	protein_coding	0	0	1	0	1	0	0	0
yaaJ	ECB_00007	ECB_00007	protein_coding	0	0	1	0	0	0	0	1
yaaW	ECB_00011	ECB_00011	protein_coding	0	0	1	0	1	0	0	0
yaaX	ECB_00005	ECB_00005	protein_coding	0	0	1	0	1	0	0	0
yafA	ECB_00234	ECB_00234	protein_coding	0	0	1	0	1	0	0	0
yagP	ECB_00241	ECB_00241	protein_coding	0	0	1	0	1	0	0	0
yagQ	ECB_00242	ECB_00242	protein_coding	0	0	1	0	1	0	0	0
yagW	ECB_00249	ECB_00249	protein_coding	0	0	1	0	0	0	0	1
yagX	ECB_00250	ECB_00250	protein_coding	0	0	1	0	0	0	0	1
yagY	ECB_00251	ECB_00251	protein_coding	0	0	1	0	0	0	0	1
yagZ	ECB_00252	ECB_00252	protein_coding	0	0	1	0	0	0	0	1
yaiA	ECB_00336	ECB_00336	protein_coding	0	0	1	0	1	0	0	0
yaiC	ECB_00332	ECB_00332	protein_coding	0	0	1	0	1	0	0	0
yaiE	ECB_00338	ECB_00338	protein_coding	0	0	1	0	1	0	0	0
yaiI	ECB_00334	ECB_00334	protein_coding	0	0	1	0	1	0	0	0
yajF	ECB_00343	ECB_00343	protein_coding	0	0	1	0	0	0	0	1
ybaE	ECB_00397	ECB_00397	protein_coding	0	0	1	0	1	0	0	0
ybaK	ECB_00432	ECB_00432	protein_coding	0	0	1	0	1	0	0	0
ybaL	ECB_00429	ECB_00429	protein_coding	1	0	0	0	0	1	0	0
ybaV	ECB_00394	ECB_00394	protein_coding	0	0	1	0	0	0	0	1
ybaW	ECB_00395	ECB_00395	protein_coding	0	0	1	0	0	0	0	1
ybaX	ECB_00396	ECB_00396	protein_coding	0	0	1	0	1	0	0	0
ybeA	ECB_00605	ECB_00605	protein_coding	0	0	1	0	1	0	0	0
ybeB	ECB_00606	ECB_00606	protein_coding	0	0	1	0	1	0	0	0
ybeD	ECB_00600	ECB_00600	protein_coding	0	0	1	0	0	0	0	1
ybeF	ECB_00598	ECB_00598	protein_coding	0	0	1	0	0	0	0	1
yciK	ECB_01247	ECB_01247	protein_coding	0	0	1	0	0	0	0	1
yciN	ECB_01249	ECB_01249	protein_coding	0	0	1	0	0	0	0	1
ydhV	ECB_01642	ECB_01642	protein_coding	0	0	1	0	0	0	0	1
ydhW	ECB_01641	ECB_01641	protein_coding	0	0	1	0	0	0	0	1
ydhY	ECB_01643	ECB_01643	protein_coding	0	0	1	0	0	0	0	1
ydhZ	ECB_01644	ECB_01644	protein_coding	0	0	1	0	0	0	0	1
yeeR	ECB_02801	ECB_02801	protein_coding	0	0	1	0	0	0	0	1
yegQ	ECB_01986	ECB_01986	protein_coding	0	0	1	0	1	0	0	0
yegZ	ECB_01988	ECB_01988	protein_coding	0	0	1	0	0	0	0	1
yfbM	ECB_02198	ECB_02198	protein_coding	0	0	1	0	1	0	0	0
yfcX	ECB_02265	ECB_02265	protein_coding	0	0	1	0	0	0	0	1
yfcY	ECB_02266	ECB_02266	protein_coding	0	0	1	0	0	0	0	1
yfcZ	ECB_02267	ECB_02267	protein_coding	0	0	1	0	0	0	0	1
yfdC	ECB_02273	ECB_02273	protein_coding	0	0	1	0	0	0	0	1
yfeA	ECB_02303	ECB_02303	protein_coding	0	0	1	0	1	0	0	0
yfeC	ECB_02304	ECB_02304	protein_coding	0	0	1	0	0	0	0	1
yfeD	ECB_02305	ECB_02305	protein_coding	0	0	1	0	0	0	0	1
yfeO	ECB_02299	ECB_02299	protein_coding	0	0	1	0	1	0	0	0
yfhB	ECB_02454	ECB_02454	protein_coding	0	0	1	0	1	0	0	0
yfhH	ECB_02455	ECB_02455	protein_coding	0	0	1	0	0	0	0	1
yfhL	ECB_02456	ECB_02456	protein_coding	0	0	1	0	0	0	0	1
yfiB	ECB_02494	ECB_02494	protein_coding	0	0	1	0	1	0	0	0
yfiL	ECB_02491	ECB_02491	protein_coding	0	0	1	0	1	0	0	0
yfiN	ECB_02493	ECB_02493	protein_coding	0	0	1	0	1	0	0	0
yfiR	ECB_02492	ECB_02492	protein_coding	0	0	1	0	1	0	0	0
yfjD	ECB_02501	ECB_02501	protein_coding	0	0	1	0	0	0	0	1
yhdG	ECB_03118	ECB_03118	protein_coding	0	0	1	0	1	0	0	0
yhdJ	ECB_03120	ECB_03120	protein_coding	0	0	1	0	0	0	0	1
yhdT	ECB_03115	ECB_03115	protein_coding	0	0	1	0	1	0	0	0
yhdU	ECB_03121	ECB_03121	protein_coding	0	0	1	0	0	0	0	1
yheL	ECB_03194	ECB_03194	protein_coding	0	0	1	0	1	0	0	0
yheM	ECB_03195	ECB_03195	protein_coding	0	0	1	0	1	0	0	0
yheN	ECB_03196	ECB_03196	protein_coding	0	0	1	0	1	0	0	0
yheO	ECB_03197	ECB_03197	protein_coding	0	0	1	0	1	0	0	0
yieO	ECB_03640	ECB_03640	protein_coding	1	0	0	0	0	1	0	0
yieP	ECB_03641	ECB_03641	protein_coding	0	0	1	0	1	0	0	0
yifB	ECB_03644	ECB_03644	protein_coding	0	0	1	0	1	0	0	0
yifE	ECB_03643	ECB_03643	protein_coding	0	0	1	0	0	0	0	1
yiiU	ECB_03813	ECB_03813	protein_coding	0	0	1	0	1	0	0	0
yjbB	ECB_03892	ECB_03892	protein_coding	0	0	1	0	0	0	0	1
yjjK	ECB_04267	ECB_04267	protein_coding	0	0	1	0	1	0	0	0
yjjX	ECB_04270	ECB_04270	protein_coding	0	0	1	0	1	0	0	0
ykgK	ECB_00253	ECB_00253	protein_coding	0	0	1	0	0	0	0	1
ykgL	ECB_00254	ECB_00254	protein_coding	0	0	1	0	0	0	0	1
ykgM	ECB_00255	ECB_00255	protein_coding	0	0	1	0	1	0	0	0
ykiA	ECB_00339	ECB_00339	protein_coding	0	0	1	0	1	0	0	0
ynhG	ECB_01647	ECB_01647	protein_coding	0	0	1	0	1	0	0	0
ypdG	ECB_02296	ECB_02296	protein_coding	0	0	1	0	0	0	0	1
ypdH	ECB_02297	ECB_02297	protein_coding	0	0	1	0	0	0	0	1
ypeC	ECB_02300	ECB_02300	protein_coding	0	0	1	0	1	0	0	0
ypjD	ECB_02500	ECB_02500	protein_coding	0	0	1	0	0	0	0	1
yqgA	ECB_02796	ECB_02796	protein_coding	0	0	1	0	1	0	0	0
ytfM	ECB_04091	ECB_04091	protein_coding	0	0	1	0	1	0	0	0
ytfN	ECB_04092	ECB_04092	protein_coding	1	0	0	0	0	1	0	0
ytfP	ECB_04093	ECB_04093	protein_coding	0	0	1	0	0	0	0	1
ytfQ	ECB_04096	ECB_04096	protein_coding	0	0	1	0	0	0	0	1
ytfR	ECB_04097	ECB_04097	protein_coding	0	0	1	0	0	0	0	1
ytfT	ECB_04098	ECB_04098	protein_coding	0	0	1	0	0	0	0	1
yzfA	ECB_04094	ECB_04094	protein_coding	0	0	1	0	1	0	0	0
