# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ECB_00664	ECB_00664	ECB_00664	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_00726	ECB_00726	ECB_00726	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ECB_00727	ECB_00727	ECB_00727	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_00728	ECB_00728	ECB_00728	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_00729	ECB_00729	ECB_00729	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_00730	ECB_00730	ECB_00730	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00731	ECB_00731	ECB_00731	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00732	ECB_00732	ECB_00732	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00733	ECB_00733	ECB_00733	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00783	ECB_00783	ECB_00783	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_00814	ECB_00814	ECB_00814	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_00815	ECB_00815	ECB_00815	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_00816	ECB_00816	ECB_00816	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_00817	ECB_00817	ECB_00817	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_00818	ECB_00818	ECB_00818	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_00819	ECB_00819	ECB_00819	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00820	ECB_00820	ECB_00820	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00821	ECB_00821	ECB_00821	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00822	ECB_00822	ECB_00822	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00823	ECB_00823	ECB_00823	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_00824	ECB_00824	ECB_00824	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ECB_00825	ECB_00825	ECB_00825	protein_coding	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0
ECB_00826	ECB_00826	ECB_00826	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_00827	ECB_00827	ECB_00827	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_00828	ECB_00828	ECB_00828	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_00829	ECB_00829	ECB_00829	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_00830	ECB_00830	ECB_00830	protein_coding	0	0	1	3	0	0	0	0	1	0	0	1	0	0	0	0	2
ECB_00831	ECB_00831	ECB_00831	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3
ECB_00832	ECB_00832	ECB_00832	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1
ECB_00833	ECB_00833	ECB_00833	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0
ECB_00834	ECB_00834	ECB_00834	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_00835	ECB_00835	ECB_00835	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00836	ECB_00836	ECB_00836	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00837	ECB_00837	ECB_00837	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00838	ECB_00838	ECB_00838	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_00839	ECB_00839	ECB_00839	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00840	ECB_00840	ECB_00840	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00841	ECB_00841	ECB_00841	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00842	ECB_00842	ECB_00842	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_00843	ECB_00843	ECB_00843	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00844	ECB_00844	ECB_00844	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_00845	ECB_00845	ECB_00845	protein_coding	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0
ECB_00846	ECB_00846	ECB_00846	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00848	ECB_00848	ECB_00848	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_00849	ECB_00849	ECB_00849	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00850	ECB_00850	ECB_00850	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_00851	ECB_00851	ECB_00851	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_01081	ECB_01081	ECB_01081	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_01147	ECB_01147	ECB_01147	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_01334	ECB_01334	ECB_01334	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_01335	ECB_01335	ECB_01335	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_01336	ECB_01336	ECB_01336	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_01341	ECB_01341	ECB_01341	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0
ECB_01342	ECB_01342	ECB_01342	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ECB_01343	ECB_01343	ECB_01343	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ECB_01344	ECB_01344	ECB_01344	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0
ECB_01382	ECB_01382	ECB_01382	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_01413	ECB_01413	ECB_01413	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1
ECB_01416	ECB_01416	ECB_01416	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_01417	ECB_01417	ECB_01417	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_01458	ECB_01458	ECB_01458	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_01487	ECB_01487	ECB_01487	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3
ECB_01488	ECB_01488	ECB_01488	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3
ECB_01505	ECB_01505	ECB_01505	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_01506	ECB_01506	ECB_01506	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ECB_01507	ECB_01507	ECB_01507	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ECB_01510	ECB_01510	ECB_01510	protein_coding	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1
ECB_01516	ECB_01516	ECB_01516	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ECB_01522	ECB_01522	ECB_01522	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_01523	ECB_01523	ECB_01523	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_01527	ECB_01527	ECB_01527	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_01528	ECB_01528	ECB_01528	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_01530	ECB_01530	ECB_01530	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_01533	ECB_01533	ECB_01533	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_01534	ECB_01534	ECB_01534	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_01535	ECB_01535	ECB_01535	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ECB_01536	ECB_01536	ECB_01536	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ECB_01539	ECB_01539	ECB_01539	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_01540	ECB_01540	ECB_01540	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_01541	ECB_01541	ECB_01541	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_01542	ECB_01542	ECB_01542	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_01546	ECB_01546	ECB_01546	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_01628	ECB_01628	ECB_01628	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_01690	ECB_01690	ECB_01690	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_01757	ECB_01757	ECB_01757	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_01797	ECB_01797	ECB_01797	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	4
ECB_01906	ECB_01906	ECB_01906	protein_coding	1	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	2
ECB_01907	ECB_01907	ECB_01907	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_01908	ECB_01908	ECB_01908	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_02033	ECB_02033	ECB_02033	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_02034	ECB_02034	ECB_02034	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_02057	ECB_02057	ECB_02057	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_02199	ECB_02199	ECB_02199	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_02200	ECB_02200	ECB_02200	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_02307	ECB_02307	ECB_02307	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_02364	ECB_02364	ECB_02364	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_02509	ECB_02509	ECB_02509	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_02510	ECB_02510	ECB_02510	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_02621	ECB_02621	ECB_02621	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
ECB_02648	ECB_02648	ECB_02648	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_02649	ECB_02649	ECB_02649	protein_coding	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	2
ECB_02650	ECB_02650	ECB_02650	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_02651	ECB_02651	ECB_02651	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_02652	ECB_02652	ECB_02652	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1
ECB_02797	ECB_02797	ECB_02797	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_02798	ECB_02798	ECB_02798	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_02802	ECB_02802	ECB_02802	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_02804	ECB_02804	ECB_02804	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_02831	ECB_02831	ECB_02831	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_02832	ECB_02832	ECB_02832	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_02833	ECB_02833	ECB_02833	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_02834	ECB_02834	ECB_02834	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ECB_02835	ECB_02835	ECB_02835	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ECB_02836	ECB_02836	ECB_02836	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
ECB_02837	ECB_02837	ECB_02837	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2
ECB_02838	ECB_02838	ECB_02838	protein_coding	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0
ECB_02851	ECB_02851	ECB_02851	protein_coding	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	1	2
ECB_02852	ECB_02852	ECB_02852	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
ECB_02853	ECB_02853	ECB_02853	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_02854	ECB_02854	ECB_02854	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_02855	ECB_02855	ECB_02855	protein_coding	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0
ECB_02856	ECB_02856	ECB_02856	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0
ECB_02857	ECB_02857	ECB_02857	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_02858	ECB_02858	ECB_02858	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_03080	ECB_03080	ECB_03080	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_03279	ECB_03279	ECB_03279	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_03412	ECB_03412	ECB_03412	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_03436	ECB_03436	ECB_03436	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03437	ECB_03437	ECB_03437	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_03438	ECB_03438	ECB_03438	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ECB_03457	ECB_03457	ECB_03457	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03459	ECB_03459	ECB_03459	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_03460	ECB_03460	ECB_03460	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ECB_03510	ECB_03510	ECB_03510	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03516	ECB_03516	ECB_03516	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03523	ECB_03523	ECB_03523	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_03524	ECB_03524	ECB_03524	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03525	ECB_03525	ECB_03525	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03526	ECB_03526	ECB_03526	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03527	ECB_03527	ECB_03527	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_03530	ECB_03530	ECB_03530	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_03531	ECB_03531	ECB_03531	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
ECB_03532	ECB_03532	ECB_03532	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_03533	ECB_03533	ECB_03533	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_03534	ECB_03534	ECB_03534	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_03537	ECB_03537	ECB_03537	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_03538	ECB_03538	ECB_03538	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ECB_03539	ECB_03539	ECB_03539	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_03540	ECB_03540	ECB_03540	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
ECB_03541	ECB_03541	ECB_03541	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_03545	ECB_03545	ECB_03545	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ECB_03654	ECB_03654	ECB_03654	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_03822	ECB_03822	ECB_03822	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ECB_04146	ECB_04146	ECB_04146	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_04147	ECB_04147	ECB_04147	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_04148	ECB_04148	ECB_04148	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
ECB_04152	ECB_04152	ECB_04152	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
ECB_04162	ECB_04162	ECB_04162	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ECB_04174	ECB_04174	ECB_04174	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ECB_04261	ECB_04261	ECB_04261	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
aas	ECB_02684	ECB_02684	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
aat	ECB_00889	ECB_00889	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	1
abgA	ECB_01315	ECB_01315	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
abgB	ECB_01314	ECB_01314	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
abgR	ECB_01316	ECB_01316	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
abgT	ECB_01313	ECB_01313	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
abrB	ECB_00675	ECB_00675	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	2
accA	ECB_00183	ECB_00183	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
accB	ECB_03113	ECB_03113	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
accC	ECB_03114	ECB_03114	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
accD	ECB_02241	ECB_02241	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1
aceA	ECB_03887	ECB_03887	protein_coding	1	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0
aceB	ECB_03886	ECB_03886	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
aceE	ECB_00113	ECB_00113	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
aceF	ECB_00114	ECB_00114	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
aceK	ECB_03888	ECB_03888	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1
ackA	ECB_02221	ECB_02221	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
acnA	ECB_01253	ECB_01253	protein_coding	0	0	1	4	0	0	0	0	1	0	0	1	0	0	0	0	3
acnB	ECB_00117	ECB_00117	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
acpP	ECB_01090	ECB_01090	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	1
acpS	ECB_02457	ECB_02457	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
acpT	ECB_03324	ECB_03324	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
acrA	ECB_00414	ECB_00414	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
acrB	ECB_00413	ECB_00413	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1
acrE	ECB_03123	ECB_03123	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2
acrF	ECB_03124	ECB_03124	protein_coding	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2
acrR	ECB_00415	ECB_00415	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
acs	ECB_03941	ECB_03941	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
actP	ECB_03939	ECB_03939	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
add	ECB_01592	ECB_01592	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ade	ECB_03549	ECB_03549	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
adhE	ECB_01215	ECB_01215	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
adhP	ECB_01436	ECB_01436	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
adk	ECB_00425	ECB_00425	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
aer	ECB_02941	ECB_02941	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3
aes	ECB_00427	ECB_00427	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1
agaA	ECB_03002	ECB_03002	protein_coding	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
agaB	ECB_03005	ECB_03005	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
agaC	ECB_03006	ECB_03006	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
agaD	ECB_03007	ECB_03007	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
agaE	ECB_03000	ECB_03000	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
agaF	ECB_03001	ECB_03001	protein_coding	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
agaR	ECB_02996	ECB_02996	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2
agaS	ECB_03003	ECB_03003	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
agaV	ECB_02998	ECB_02998	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
agaW	ECB_02999	ECB_02999	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
agaY	ECB_03004	ECB_03004	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
